"word"	"freq"	"probability"
"517"	"st "	110	0.000210366477528079
"518"	"trip "	109	0.000208454055005097
"519"	"town "	109	0.000208454055005097
"520"	"welcome "	108	0.000206541632482114
"521"	"event "	108	0.000206541632482114
"522"	"including "	108	0.000206541632482114
"523"	"p "	107	0.000204629209959132
"524"	"five "	107	0.000204629209959132
"525"	"goes "	107	0.000204629209959132
"526"	"happened "	107	0.000204629209959132
"527"	"mother "	107	0.000204629209959132
"528"	"excited "	107	0.000204629209959132
"529"	"cut "	106	0.000202716787436149
"530"	"e "	106	0.000202716787436149
"531"	"service "	106	0.000202716787436149
"532"	"loved "	106	0.000202716787436149
"533"	"outside "	106	0.000202716787436149
"534"	"definitely "	106	0.000202716787436149
"535"	"above "	105	0.000200804364913166
"536"	"page "	105	0.000200804364913166
"537"	"sick "	105	0.000200804364913166
"538"	"yourself "	105	0.000200804364913166
"539"	"future "	103	0.000196979519867201
"540"	"possible "	103	0.000196979519867201
"541"	"close "	102	0.000195067097344219
"542"	"body "	102	0.000195067097344219
"543"	"based "	102	0.000195067097344219
"544"	"bring "	101	0.000193154674821236
"545"	"media "	101	0.000193154674821236
"546"	"problem "	101	0.000193154674821236
"547"	"send "	101	0.000193154674821236
"548"	"tried "	101	0.000193154674821236
"549"	"deep "	101	0.000193154674821236
"550"	"phone "	100	0.000191242252298254
"551"	"knew "	100	0.000191242252298254
"552"	"available "	100	0.000191242252298254
"553"	"hour "	99	0.000189329829775271
"554"	"control "	98	0.000187417407252289
"555"	"gone "	98	0.000187417407252289
"556"	"giving "	98	0.000187417407252289
"557"	"piece "	98	0.000187417407252289
"558"	"boy "	97	0.000185504984729306
"559"	"facebook "	97	0.000185504984729306
"560"	"order "	97	0.000185504984729306
"561"	"sit "	97	0.000185504984729306
"562"	"christmas "	97	0.000185504984729306
"563"	"works "	97	0.000185504984729306
"564"	"happen "	97	0.000185504984729306
"565"	"himself "	97	0.000185504984729306
"566"	"sense "	97	0.000185504984729306
